player,age,current_club,current_league,foot,height,nationality,position,games12,games13,games14,games15,games16,games17,goals12,goals13,goals14,goals15,goals16,goals17,minutes12,minutes13,minutes14,minutes15,minutes16,minutes17,assists12,assists13,assists14,assists15,assists16,assists17
Dmitri Poloz,26,Zenit St. Petersburg,RUS - Premier Liga,right,183,Russia,W,22,30,24,30,40,24,3,1,4,7,14,3,1057,1258,1522,2132,2987,1194,1,4,2,6,8,7
Emiliano Rigoni,25,Zenit St. Petersburg,RUS - Premier Liga,both,180,Argentina  Italy,W,,26,48,20,31,21,,1,7,5,11,6,,1255,2832,1533,2427,1433,,0,6,6,2,3
Sebastián Driussi,22,Zenit St. Petersburg,RUS - Premier Liga,both,179,Argentina  Italy,CF,,7,37,15,35,31,,1,4,1,21,3,,296,2231,914,2517,1571,,0,4,1,3,4
Aleksandr Kokorin,26,Zenit St. Petersburg,RUS - Premier Liga,right,183,Russia,CF,26,23,39,24,38,34,13,10,10,8,10,19,2287,1777,2785,1424,2889,2911,5,9,7,3,7,4
Anton Zabolotnyi,26,Zenit St. Petersburg,RUS - Premier Liga,right,188,Russia,CF,5,26,,29,34,24,1,3,,5,16,4,171,1305,,1500,2562,2019,0,1,,3,5,2
Quincy Promes,26,Spartak Moscow,RUS - Premier Liga,both,174,Netherlands  Suriname,W,42,31,29,32,29,28,17,11,13,18,12,15,3678,2730,2499,2806,2474,2427,11,8,5,8,10,8
Pedro Rocha,23,Spartak Moscow,RUS - Premier Liga,right,175,Brazil,W,,,34,20,23,10,,,5,2,7,1,,,1983,953,1753,449,,,3,1,6,2
Lorenzo Melgarejo,27,Spartak Moscow,RUS - Premier Liga,left,178,Paraguay,W,40,25,15,28,22,25,2,10,1,11,2,6,3588,1782,990,1794,804,1092,5,2,0,3,0,5
Zelimkhan Bakaev,21,Spartak 2 Moscow,RUS - Premier Liga,left,180,Russia,W,,,,14,31,12,,,,2,0,1,,,,597,1573,775,,,,1,2,0
Luiz Adriano,30,Spartak Moscow,RUS - Premier Liga,right,183,Brazil,CF,32,39,33,29,15,29,15,31,21,6,2,11,2455,3120,2681,1504,591,2513,9,4,11,4,1,7
Zé Luís,27,Spartak Moscow,RUS - Premier Liga,left,184,Cape Verde,CF,35,29,25,25,24,16,8,10,11,10,5,4,1603,1577,1604,1768,1703,1022,1,5,5,5,7,7
Ahmed Musa,25,CSKA Moscow,RUS - Premier Liga,both,170,Nigeria,CF,35,37,39,44,32,12,15,9,11,18,4,2,3029,2878,3226,3858,1335,1075,7,4,11,6,0,3
Fedor Chalov,19,CSKA Moscow,RUS - Premier Liga,right,180,Russia,CF,,,,6,23,23,,,,1,11,0,,,,419,1309,1033,,,,1,5,2
Timur Zhamaletdinov,20,CSKA Moscow,RUS - Premier Liga,right,181,Russia,CF,,,6,7,13,17,,,3,4,6,2,,,465,531,809,585,,,0,2,2,0
Wanderson,23,FK Krasnodar,RUS - Premier Liga,right,175,Brazil  Belgium,W,6,29,32,26,28,23,0,2,2,2,5,3,199,1924,1769,1175,1543,1236,1,6,4,0,11,2
Joãozinho,29,FK Krasnodar,RUS - Premier Liga,left,166,Russia  Brazil,W,31,34,29,23,33,19,4,7,11,2,6,2,2740,2964,2369,991,1809,898,16,12,9,5,5,1
Andrei Ivan,21,FK Krasnodar,RUS - Premier Liga,right,185,Romania,W,,8,19,34,39,8,,1,1,7,10,0,,324,518,2762,3382,145,,0,2,5,5,2
Ricardo Laborde,30,FK Krasnodar,RUS - Premier Liga,right,174,Colombia,W,29,12,37,31,27,7,7,3,7,3,3,2,2275,438,1499,1290,877,214,9,3,6,6,3,0
Magomed-Shapi Suleymanov,18,FK Krasnodar,RUS - Premier Liga,left,170,Russia,W,,,,,,10,,,,,,2,,,,,,458,,,,,,6
Fedor Smolov,28,FK Krasnodar,RUS - Premier Liga,right,187,Russia,CF,26,29,26,44,31,17,1,2,8,24,25,12,1023,1965,1854,3410,2691,1377,0,2,3,13,1,2
Ivan Ignatjev,19,FK Krasnodar,RUS - Premier Liga,right,180,Russia,CF,,,,,,11,,,,,,13,,,,,,847,,,,,,3
Alan Kasaev,31,Lokomotiv Moscow,RUS - Premier Liga,right,174,Russia,W,31,20,31,31,19,2,3,3,4,3,2,0,1564,1060,2016,2127,857,54,5,3,3,4,5,0
Jefferson Farfán,33,Lokomotiv Moscow,RUS - Premier Liga,right,178,Peru,W,35,28,9,9,11,24,7,12,0,1,3,12,2828,2259,564,696,677,1995,10,9,0,1,0,6
Arshak Koryan,22,Lokomotiv Moscow,RUS - Premier Liga,right,169,Russia  Armenia,W,,0,8,12,25,3,,0,1,6,11,0,,0,588,922,1808,30,,0,3,2,10,0
Éder,30,Lokomotiv Moscow,RUS - Premier Liga,both,190,Portugal  Guinea-Bissau,CF,31,16,38,29,37,19,16,4,14,6,7,3,2413,1064,2268,1582,2842,1041,5,3,3,4,5,1
Ari,32,Lokomotiv Moscow,RUS - Premier Liga,both,180,Brazil,CF,37,21,38,36,31,5,6,7,14,6,13,1,2621,1297,2451,2252,2435,430,8,3,9,7,8,1
Gökdeniz Karadeniz,38,Rubin Kazan,RUS - Premier Liga,right,168,Turkey,W,42,31,24,28,12,16,7,6,7,7,0,2,3319,2365,2017,2061,535,835,9,5,4,2,0,5
Rifat Zhemaletdinov,21,Rubin Kazan,RUS - Premier Liga,right,184,Russia,W,,,,6,26,18,,,,2,0,3,,,,314,1395,800,,,,1,0,1
Sardar Azmoun,23,Rubin Kazan,RUS - Premier Liga,both,186,Iran,CF,0,17,27,24,41,22,0,5,6,9,12,1,0,881,1069,1276,2447,1120,0,3,1,3,3,4
Léo Jabá,19,Akhmat Grozny,RUS - Premier Liga,right,178,Brazil,W,,,,1,1,22,,,,0,0,3,,,,15,21,1411,,,,0,0,0
Bernard Berisha,26,Akhmat Grozny,RUS - Premier Liga,right,174,Kosovo  Albania,W,21,30,41,43,27,17,3,4,7,7,5,0,1791,2478,3020,3203,1513,852,2,0,1,11,2,1
Magomed Mitrishev,25,Akhmat Grozny,RUS - Premier Liga,right,178,Russia,W,20,2,14,24,25,22,2,0,2,6,3,1,470,30,715,1371,1346,1436,0,0,2,2,2,3
Odise Roshi,26,Akhmat Grozny,RUS - Premier Liga,right,187,Albania,W,32,25,22,25,21,14,2,1,3,2,1,0,891,874,1422,636,1167,912,1,3,2,1,7,3
Khalid Kadyrov,23,Akhmat Grozny,RUS - Premier Liga,right,167,Russia,W,0,2,5,5,0,2,0,0,0,1,0,0,0,49,142,197,0,44,0,0,0,0,0,0
Bekim Balaj,27,Akhmat Grozny,RUS - Premier Liga,right,188,Albania,CF,19,37,31,37,27,8,4,9,13,10,9,0,1074,1964,2224,2118,2059,364,2,5,3,2,0,0
Ablaye Mbengue,25,Akhmat Grozny,RUS - Premier Liga,right,187,Senegal,CF,,,5,22,23,11,,,4,3,7,2,,,405,760,866,588,,,0,0,2,0
Zaur Sadaev,28,Akhmat Grozny,RUS - Premier Liga,right,182,Russia,CF,13,22,34,16,8,15,1,4,9,5,2,3,369,1275,2156,653,248,658,0,2,7,0,0,0
Apti Akh'yadov,24,Akhmat Grozny,RUS - Premier Liga,right,173,Russia,CF,,0,0,2,28,3,,0,0,0,1,0,,0,0,40,1841,135,,0,0,0,2,0
Fedor Chernykh,26,Dinamo Moscow,RUS - Premier Liga,both,183,Lithuania  Russia,W,35,14,33,35,36,28,4,3,12,4,13,4,3100,1230,2573,2674,3076,2210,5,3,6,4,9,8
Vyacheslav Grulev,18,Dinamo Moscow II,RUS - Premier Liga,right,188,Russia,W,,,,,2,2,,,,,1,0,,,,,104,52,,,,,0,0
Anton Terekhov,20,Dinamo Moscow,RUS - Premier Liga,right,186,Russia,W,,,,4,7,4,,,,0,1,1,,,,134,419,216,,,,0,0,1
Evgeni Markov,23,Dinamo Moscow,RUS - Premier Liga,right,187,Russia,CF,,,18,28,23,22,,,5,6,8,9,,,1193,1141,1125,1388,,,0,4,2,1
Evgeni Lutsenko,31,Dinamo Moscow,RUS - Premier Liga,left,187,Russia,CF,32,28,25,27,32,15,9,4,3,10,7,3,2624,2269,1605,1956,1671,999,4,1,1,6,2,2
Nikolay Obolskiy,21,Dinamo Moscow,RUS - Premier Liga,left,186,Russia,CF,,,0,8,5,8,,,0,0,3,0,,,0,154,450,273,,,0,0,2,0
Evans Kangwa,25,Arsenal Tula,RUS - Premier Liga,right,180,Zambia,W,,,23,33,26,11,,,4,11,4,2,,,1092,2703,1232,848,,,0,2,1,0
Artem Dzyuba,29,Arsenal Tula,RUS - Premier Liga,right,196,Russia,CF,32,31,26,44,34,26,4,19,8,23,14,3,1773,2774,1529,3582,2818,1265,7,4,1,12,8,3
Luka Djordjevic,23,Arsenal Tula,RUS - Premier Liga,both,185,Montenegro,CF,10,21,12,28,18,21,0,1,6,4,3,7,260,761,785,1177,446,1556,0,3,0,1,2,0
Federico Rasic,25,Arsenal Tula,RUS - Premier Liga,right,194,Argentina  Croatia,CF,,12,21,9,15,15,,3,3,0,6,0,,677,912,503,923,309,,0,1,2,0,0
Aslanbek Sikoev,23,Arsenal Tula II,RUS - Premier Liga,right,191,Russia,CF,,0,,,,4,,0,,,,0,,0,,,,49,,0,,,,0
Igor Shevchenko,33,Arsenal Tula,RUS - Premier Liga,right,180,Russia,CF,32,31,26,14,20,16,4,8,1,4,2,1,1986,2683,1490,1200,1096,1078,1,2,1,2,0,0
Sly,27,FK Ufa,RUS - Premier Liga,right,173,Nigeria,W,28,30,33,26,26,19,9,11,10,4,3,6,2162,2648,2878,2138,2213,1700,3,3,8,1,3,2
Dmitri Sysuev,30,FK Ufa,RUS - Premier Liga,right,176,Russia,W,28,27,12,20,21,19,9,4,1,2,1,2,2300,1963,816,877,1217,925,7,2,3,1,3,2
Kehinde Fatai,28,FK Ufa,RUS - Premier Liga,right,185,Nigeria  Romania,CF,37,19,32,46,25,16,16,5,14,14,6,0,2745,859,1833,2502,1507,878,6,3,5,5,0,0
Vyacheslav Krotov,25,FK Ufa,RUS - Premier Liga,right,183,Russia,CF,3,1,10,30,27,13,1,0,3,5,0,3,193,90,610,1928,957,605,0,0,0,3,3,1
Yerkebulan Seydakhmet,18,FK Ufa,RUS - Premier Liga,right,178,Kazakhstan,CF,,,,,18,1,,,,,5,0,,,,,654,42,,,,,1,0
Aleksandr Zuev,21,FK Rostov,RUS - Premier Liga,right,176,Russia  Kazakhstan,W,,,3,38,23,21,,,0,6,0,2,,,105,1882,1259,956,,,1,6,3,3
Aleksey Ionov,29,FK Rostov,RUS - Premier Liga,right,177,Russia,W,32,24,44,32,29,20,2,5,13,4,3,2,2607,1684,2808,2788,1824,1364,12,6,4,4,4,1
Björn Sigurdarson,27,FK Rostov,RUS - Premier Liga,right,187,Iceland,CF,41,39,17,29,30,2,6,5,2,4,17,0,2535,1907,1180,2130,2564,180,2,3,1,0,3,0
Eldor Shomurodov,22,FK Rostov,RUS - Premier Liga,right,185,Uzbekistan,CF,,,4,7,20,15,,,0,2,2,0,,,151,535,1557,400,,,0,0,0,0
Vladimir Dyadyun,29,FK Rostov,RUS - Premier Liga,right,183,Russia,CF,33,20,25,21,,15,10,0,3,0,,1,1532,524,1461,632,,892,2,0,1,0,,2
Nikolay Dimitrov,30,Ural Yekaterinburg,RUS - Premier Liga,left,175,Bulgaria,W,21,26,42,26,26,17,7,2,12,2,1,2,1625,1678,3178,1514,2080,1505,4,1,6,2,4,5
Dmytro Khomchenovsky,27,Ural Yekaterinburg,RUS - Premier Liga,both,182,Ukraine,W,15,30,32,28,31,8,2,5,4,4,3,0,1131,2674,2579,1635,1608,453,2,5,2,2,2,0
Nikita Glushkov,23,Ural Yekaterinburg,RUS - Premier Liga,right,175,Russia,W,,,18,,28,7,,,0,,1,0,,,1549,,1723,359,,,0,,2,0
Giorgi Chanturia,24,Ural Yekaterinburg,RUS - Premier Liga,both,181,Georgia,W,16,23,26,24,14,15,2,5,6,4,4,3,911,1121,1353,1602,846,741,0,2,0,3,2,1
Edgar Manucharyan,31,Ural Yekaterinburg,RUS - Premier Liga,left,177,Armenia,W,11,23,19,23,15,6,6,3,3,6,2,0,555,1264,1386,1211,661,152,0,3,3,2,1,0
Vladimir Iljin,25,Ural Yekaterinburg,RUS - Premier Liga,right,187,Russia,CF,,16,30,34,39,16,,1,1,14,8,1,,756,1154,1733,3115,1032,,0,0,5,1,1
Igor Portnyagin,29,Ural Yekaterinburg,RUS - Premier Liga,right,191,Russia,CF,27,32,28,31,7,7,18,7,12,5,1,1,1909,2335,2171,1803,338,358,6,5,3,5,0,0
Aaron Olanare,23,Amkar Perm,RUS - Premier Liga,left,189,Nigeria,CF,27,33,18,10,7,14,7,15,7,3,0,1,1852,2351,1301,430,267,915,2,11,1,0,0,0
Darko Bodul,29,Amkar Perm,RUS - Premier Liga,right,186,Austria  Croatia,CF,28,30,21,12,25,22,4,4,2,0,5,1,1861,1172,1140,631,1952,1295,8,2,0,0,4,6
Aleksey Gasilin,22,Amkar Perm,RUS - Premier Liga,both,185,Russia,CF,1,2,7,33,33,6,0,1,0,14,8,0,44,180,585,2142,2001,167,0,0,2,1,4,0
Pavel Yakovlev,26,Anzhi Makhachkala,RUS - Premier Liga,right,180,Russia,W,17,25,21,17,24,18,2,3,1,1,3,2,820,1206,1299,903,1745,1209,4,3,2,1,1,0
Ivan Markelov,29,Anzhi Makhachkala,RUS - Premier Liga,left,185,Russia,W,,25,27,31,18,20,,3,6,9,3,4,,1531,2183,2252,754,1721,,3,4,7,1,6
Arsen Khubulov,27,Anzhi Makhachkala,RUS - Premier Liga,right,181,Russia,W,14,20,17,27,29,18,2,2,0,2,8,1,755,1067,544,1630,1745,900,1,2,1,5,6,5
Pylyp Budkivsky,26,Anzhi Makhachkala,RUS - Premier Liga,right,196,Ukraine,CF,0,16,33,34,31,15,0,2,9,16,6,1,0,724,2730,2724,1915,635,0,1,0,3,2,0
Juan Lescano,25,Anzhi Makhachkala,RUS - Premier Liga,right,188,Argentina,CF,,28,24,27,34,11,,7,4,8,8,4,,1748,1151,1394,2011,615,,2,0,1,1,1
Aleksandr Prudnikov,29,Anzhi Makhachkala,RUS - Premier Liga,both,185,Russia,CF,7,28,24,32,15,12,1,6,4,3,3,1,359,1022,1282,2078,617,867,0,2,1,1,1,3
Amur Kalmykov,23,Anzhi Makhachkala,RUS - Premier Liga,right,194,Russia,CF,,,,,,2,,,,,,0,,,,,,30,,,,,,0
Pavel Dolgov,21,Anzhi Makhachkala,RUS - Premier Liga,right,187,Russia,CF,,6,7,29,29,5,,2,2,3,4,0,,404,441,994,1221,144,,0,0,0,0,0
Ricardinho,28,FK Tosno,RUS - Premier Liga,both,178,Brazil,W,28,39,29,28,30,11,7,10,20,9,15,1,2214,2613,2017,2503,2302,692,2,1,2,7,15,0
Nikola Trujic,25,FK Tosno,RUS - Premier Liga,right,182,Serbia,W,28,26,30,28,41,15,4,5,3,9,9,2,1759,1809,2616,1551,2937,524,0,5,1,4,5,0
Reziuan Mirzov,24,FK Tosno,RUS - Premier Liga,right,180,Russia,W,1,9,27,5,8,18,0,3,1,0,0,1,20,561,1877,152,257,1336,0,2,2,0,0,2
Aleksandr Makarov,21,FK Tosno,RUS - Premier Liga,right,175,Russia,W,,6,5,18,18,4,,0,1,4,4,0,,510,416,1460,1087,32,,1,3,3,2,0
Pavel Pogrebnyak,34,FK Tosno,RUS - Premier Liga,left,188,Russia,CF,32,41,33,19,9,4,8,13,7,1,0,1,2257,3196,2244,1388,213,294,0,5,2,0,0,0
Alejandro Barbaro,26,SKA Khabarovsk,RUS - Premier Liga,both,177,Argentina  Italy,W,1,21,2,18,27,4,0,0,0,2,5,0,90,771,90,764,1314,136,0,1,0,1,4,1
Konstantin Savichev,24,SKA Khabarovsk,RUS - Premier Liga,right,172,Russia,W,2,,,34,30,14,0,,,5,2,1,117,,,2522,2197,920,0,,,5,10,1
Vladislav Nikiforov,28,SKA Khabarovsk,RUS - Premier Liga,right,166,Russia,W,16,24,28,39,35,18,0,4,0,2,4,0,538,1911,2446,3406,2626,1470,0,1,0,1,4,2
Dmitri Kabutov,25,SKA Khabarovsk,RUS - Premier Liga,right,173,Russia,W,31,20,24,30,34,26,2,3,1,1,2,4,2040,690,1244,1491,2233,2236,3,2,2,3,3,5
Maksim Kazankov,30,SKA Khabarovsk,RUS - Premier Liga,right,175,Russia  Turkmenistan,W,,,,33,33,19,,,,2,6,1,,,,1574,1979,1211,,,,3,1,2
Maksim Kanunnikov,26,SKA Khabarovsk,RUS - Premier Liga,right,184,Russia,CF,25,24,28,40,23,17,3,3,5,7,7,2,1406,1681,2224,3460,1939,1282,2,5,7,4,2,1
Miroslav Markovic,28,SKA Khabarovsk,RUS - Premier Liga,both,184,Serbia,CF,23,24,12,18,19,20,3,6,4,2,4,5,1438,1331,631,1224,1099,1466,2,1,0,0,0,0
Lukasz Sekulski,27,SKA Khabarovsk,RUS - Premier Liga,right,187,Poland,CF,35,19,36,23,22,21,12,0,31,2,5,5,1564,691,3153,692,1399,763,0,2,1,3,4,3
Aleksandr Maksimenko,21,SKA Khabarovsk II,RUS - Premier Liga,right,169,Russia,CF,,,,,,1,,,,,,1,,,,,,72,,,,,,0
Ousmane Dembélé,20,FC Barcelona,ESP - LaLiga,both,178,France  Mauritania,W,,,,29,49,12,,,,12,10,0,,,,2111,3387,600,,,,5,21,5
Lionel Messi,30,FC Barcelona,ESP - LaLiga,left,170,Argentina  Spain,W,50,46,57,49,52,41,60,41,58,41,54,32,4070,3742,5060,4229,4452,3483,18,15,31,26,19,16
Aleix Vidal,28,FC Barcelona,ESP - LaLiga,right,177,Spain,W,45,42,47,14,12,22,7,7,6,0,2,2,3179,3279,3393,888,886,980,9,5,11,3,5,4
Luis Suárez,31,FC Barcelona,ESP - LaLiga,right,182,Uruguay  Italy,CF,44,37,43,53,51,39,30,31,25,59,37,24,3720,3249,3532,4766,4302,3428,13,24,24,26,20,10
Paco Alcácer,24,FC Barcelona,ESP - LaLiga,right,175,Spain,CF,24,37,36,46,28,16,4,14,14,15,8,5,855,2388,2402,3087,1385,776,1,3,6,8,4,3
Cristiano Ronaldo,33,Real Madrid,ESP - LaLiga,both,187,Portugal,W,55,47,54,48,46,34,55,51,61,51,42,33,4631,4030,4640,4293,4126,2877,13,17,22,15,12,5
Marco Asensio,22,Real Madrid,ESP - LaLiga,left,182,Spain  Netherlands,W,,20,36,37,38,39,,1,6,4,10,10,,1197,2915,3047,1918,2116,,1,8,15,4,5
Gareth Bale,28,Real Madrid,ESP - LaLiga,left,185,Wales,W,44,44,48,31,27,28,26,22,17,19,9,11,3891,3328,4038,2382,1937,1707,15,19,12,15,5,7
Lucas Vázquez,26,Real Madrid,ESP - LaLiga,right,173,Spain,W,26,40,39,33,50,40,3,8,4,4,4,7,795,3479,3189,1647,2279,1949,3,9,7,10,14,13
Karim Benzema,30,Real Madrid,ESP - LaLiga,both,185,France  Algeria,CF,50,52,46,36,48,33,21,24,22,28,19,8,2881,4054,3669,2593,3239,2303,21,16,15,8,9,9
Borja Mayoral,20,Real Madrid,ESP - LaLiga,right,182,Spain,CF,,,12,46,21,20,,,9,23,2,5,,,816,3320,426,772,,,0,7,0,2
Vitolo,28,Atlético Madrid,ESP - LaLiga,right,184,Spain,W,44,45,42,47,43,23,15,8,9,5,6,4,3769,3265,3131,3717,3390,1306,6,8,12,15,10,0
Ángel Correa,23,Atlético Madrid,ESP - LaLiga,right,172,Argentina  Spain,W,12,44,,36,47,41,4,8,,8,8,7,798,3365,,1435,1919,2350,3,14,,4,11,5
Antoine Griezmann,26,Atlético Madrid,ESP - LaLiga,left,175,France,CF,35,50,53,54,53,36,11,20,25,32,26,21,2923,3696,3420,4380,4559,2960,5,5,6,7,12,12
Diego Costa,29,Atlético Madrid,ESP - LaLiga,right,186,Spain  Brazil,CF,44,51,37,41,42,13,20,36,20,16,22,6,3054,4155,2935,3370,3490,959,13,4,5,11,8,4
Kévin Gameiro,30,Atlético Madrid,ESP - LaLiga,right,172,France,CF,32,49,44,52,46,27,9,21,17,29,16,9,1168,2709,1912,3572,2363,1237,3,4,6,7,7,4
Fernando Torres,33,Atlético Madrid,ESP - LaLiga,right,186,Spain,CF,64,41,36,44,45,31,22,11,7,12,10,5,4653,2263,1792,2530,2197,1167,11,6,1,5,7,2
Gonçalo Guedes,21,Valencia CF,ESP - LaLiga,right,179,Portugal,W,0,11,41,36,39,30,0,4,8,7,7,5,0,858,2908,2113,2283,1887,0,1,15,10,8,9
Andreas Pereira,22,Valencia CF,ESP - LaLiga,right,178,Brazil  Belgium,W,1,22,20,22,37,23,0,3,3,6,5,1,6,1565,1626,1318,2881,1291,0,1,4,3,3,5
Ferrán Torres,18,Valencia CF,ESP - LaLiga,right,184,Spain,W,,,,,2,19,,,,,0,1,,,,,74,930,,,,,0,2
Simone Zaza,26,Valencia CF,ESP - LaLiga,left,186,Italy,CF,36,35,34,24,31,31,18,9,12,8,6,11,2847,2386,2745,1018,1947,2148,4,2,3,2,1,4
Rodrigo,27,Valencia CF,ESP - LaLiga,left,182,Spain  Brazil,CF,39,42,32,38,21,34,11,18,4,7,7,15,2140,2666,2161,2175,1588,2277,5,8,5,3,5,7
Luciano Vietto,24,Valencia CF,ESP - LaLiga,right,173,Argentina  Italy,CF,33,36,48,28,31,21,13,5,20,3,10,4,2647,2449,2955,1455,1890,1165,4,1,8,5,5,0
Santi Mina,22,Valencia CF,ESP - LaLiga,right,181,Spain,CF,1,32,24,36,31,32,0,4,9,8,6,14,31,1431,1445,2293,1572,1531,0,0,4,6,3,4
Joaquín Correa,23,Sevilla FC,ESP - LaLiga,right,188,Argentina  Italy,W,8,32,22,25,34,32,0,3,2,3,8,7,395,2020,1269,1308,1759,2154,0,2,4,1,3,5
Nolito,31,Sevilla FC,ESP - LaLiga,right,175,Spain,W,32,37,37,29,30,31,4,14,13,12,6,4,2122,2442,3061,2452,1349,1686,3,2,14,7,5,7
Pablo Sarabia,25,Sevilla FC,ESP - LaLiga,left,178,Spain,W,16,36,41,32,46,41,2,2,4,7,11,8,629,2141,2927,2553,2809,2830,1,6,7,6,13,9
Jesús Navas,32,Sevilla FC,ESP - LaLiga,right,170,Spain,W,44,48,47,52,36,37,1,6,1,1,0,2,3924,2852,3006,3510,1797,2224,10,13,11,10,5,2
Wissam Ben Yedder,27,Sevilla FC,ESP - LaLiga,right,170,France  Tunisia,CF,37,42,38,41,42,33,15,17,15,23,18,17,2578,3090,2988,3348,2268,2174,6,5,5,5,6,3
Luis Muriel,26,Sevilla FC,ESP - LaLiga,right,179,Colombia,CF,23,31,27,35,33,35,11,8,4,7,13,8,1428,1905,1379,1919,2415,1931,3,3,5,7,9,3
Sandro Ramírez,22,Sevilla FC,ESP - LaLiga,right,175,Spain,CF,,31,42,20,31,21,,7,12,3,16,1,,1428,2692,851,2402,798,,2,2,2,5,2
Roberto Soriano,27,Villarreal CF,ESP - LaLiga,both,182,Italy  Germany,W,25,29,35,40,43,25,0,5,4,8,11,0,1018,1934,2665,3094,3098,1228,2,1,5,3,8,0
Denis Cheryshev,27,Villarreal CF,ESP - LaLiga,left,179,Russia  Spain,W,35,5,40,14,18,25,11,0,7,4,0,3,2608,127,2554,632,767,900,8,0,10,1,2,3
Samu Castillejo,23,Villarreal CF,ESP - LaLiga,left,182,Spain,W,,,39,45,44,29,,,1,2,3,2,,,2470,2880,2602,1872,,,5,2,5,7
Daniel Raba,22,Villarreal CF,ESP - LaLiga,left,184,Spain,W,,,,1,20,34,,,,0,1,5,,,,8,976,2009,,,,0,0,1
Salem Al-Dawsari,26,Villarreal CF,ESP - LaLiga,right,171,Saudi Arabia,W,16,24,29,24,35,14,4,5,4,4,5,4,1155,1859,2355,1957,2292,1067,1,5,6,1,8,1
Carlos Bacca,31,Villarreal CF,ESP - LaLiga,right,181,Colombia,CF,44,52,56,43,34,34,28,21,28,20,14,12,3629,3427,3574,3605,2310,2385,13,12,10,4,5,6
Nicola Sansone,26,Villarreal CF,ESP - LaLiga,right,173,Italy  Germany,CF,26,31,37,38,44,14,6,7,8,7,9,5,1564,1733,2689,2605,2720,510,3,8,5,5,4,2
Enes Ünal,20,Villarreal CF,ESP - LaLiga,right,185,Turkey,CF,,23,31,28,33,31,,6,1,11,19,4,,391,788,1439,2806,2002,,1,2,2,4,4
Roger Martínez,23,Villarreal CF,ESP - LaLiga,right,180,Colombia,CF,2,13,26,32,25,6,0,1,6,19,8,0,116,505,1975,2216,2067,192,0,0,6,8,3,0
Iker Muniain,25,Athletic Bilbao,ESP - LaLiga,right,169,Spain,W,43,39,41,28,46,12,2,9,2,2,7,2,2868,3021,3245,1364,3150,928,3,4,4,1,5,4
Iñigo Córdoba,20,Athletic Bilbao,ESP - LaLiga,left,179,Spain,W,,,6,21,32,31,,,1,0,4,0,,,483,808,2261,1504,,,1,1,0,1
Sabin Merino,26,Athletic Bilbao,ESP - LaLiga,right,187,Spain,W,,38,42,38,19,15,,3,18,7,1,0,,2240,3544,1959,668,427,,2,6,2,2,0
Iñaki Williams,23,Athletic Bilbao,ESP - LaLiga,right,186,Spain,W,,14,43,37,49,41,,8,16,13,8,7,,953,3293,2426,3621,2901,,3,4,6,8,6
Markel Susaeta,30,Athletic Bilbao,ESP - LaLiga,right,179,Spain,W,46,43,48,47,36,39,11,7,3,5,1,2,3812,3300,2840,3409,1473,2614,9,12,9,11,3,7
Aritz Aduriz,37,Athletic Bilbao,ESP - LaLiga,right,182,Spain,CF,44,36,48,55,42,40,18,18,26,36,24,19,2982,2693,3611,4487,3186,2899,6,9,5,10,4,2
Kike Sola,32,Athletic Bilbao,ESP - LaLiga,right,184,Spain,CF,31,9,6,13,17,1,9,1,0,4,0,0,2061,418,129,483,493,62,2,2,0,0,0,0
Mikel Oyarzabal,20,Real Sociedad,ESP - LaLiga,left,181,Spain,W,,,5,32,43,33,,,0,9,4,9,,,210,2310,3170,2517,,,0,3,9,7
Adnan Januzaj,23,Real Sociedad,ESP - LaLiga,left,186,Belgium  Kosovo,W,19,38,29,26,29,26,1,5,5,3,2,3,1523,2348,1685,1267,1956,1404,5,8,4,4,3,4
Juanmi,24,Real Sociedad,ESP - LaLiga,right,172,Spain,W,26,24,38,21,41,29,1,5,8,0,15,7,1284,1151,2554,587,2097,1543,1,0,2,2,1,3
David Concha,21,Real Sociedad,ESP - LaLiga,right,179,Spain,W,,15,35,27,11,14,,1,5,5,0,1,,626,2929,1616,136,652,,0,4,2,0,0
Willian José,26,Real Sociedad,ESP - LaLiga,right,189,Brazil,CF,26,17,38,34,34,30,5,4,10,10,14,17,1618,1001,2219,2085,2541,2346,0,0,5,1,4,2
Jon Bautista,22,Real Sociedad,ESP - LaLiga,right,180,Spain,CF,,7,25,33,31,18,,3,2,15,16,2,,491,1315,2400,1833,520,,1,4,0,2,1
Imanol Agirretxe,31,Real Sociedad,ESP - LaLiga,right,187,Spain,CF,35,40,36,16,,9,15,8,7,13,,0,2152,2260,2262,1173,,229,6,2,1,0,,0
Pione Sisto,23,Celta de Vigo,ESP - LaLiga,right,171,Denmark  Uganda,W,10,29,24,42,56,28,0,9,8,8,12,4,246,1578,1705,2631,3361,2046,0,3,4,4,4,10
Emre Mor,20,Celta de Vigo,ESP - LaLiga,left,169,Turkey  Denmark,W,,,0,13,19,24,,,0,2,1,1,,,0,973,694,896,,,0,2,3,2
Iago Aspas,30,Celta de Vigo,ESP - LaLiga,left,176,Spain,W,37,15,25,40,49,30,12,1,10,18,26,19,3031,468,940,3075,3607,2566,7,1,2,5,8,5
Maximiliano Gómez,21,Celta de Vigo,ESP - LaLiga,right,186,Uruguay,CF,,,4,21,27,30,,,0,14,15,15,,,183,1679,2297,2482,,,0,4,8,3
